source,source dataset,source variables,source variables other datasets.dataset,source variables other datasets.name,target,target dataset,target variable,match,status,description,syntax,comments
PELAGIE,pelagie_exam12,"EX39,EX95",,,LifeCycle_CDM,outcome,sbpav_152,complete,final,,"avsbp=(ex39+ex95)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX39,EX95",,,LifeCycle_CDM,outcome,sbpav_153,complete,final,,"avsbp=(ex39+ex95)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX39,EX95",,,LifeCycle_CDM,outcome,sbpav_154,complete,final,,"avsbp=(ex39+ex95)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX39,EX95",,,LifeCycle_CDM,outcome,sbpav_155,complete,final,,"avsbp=(ex39+ex95)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX39,EX95",,,LifeCycle_CDM,outcome,sbpav_156,complete,final,,"avsbp=(ex39+ex95)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_151,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,"EX39,EX95",,,LifeCycle_CDM,outcome,sbpav_157,complete,final,,"avsbp=(ex39+ex95)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX39,EX95",,,LifeCycle_CDM,outcome,sbpav_158,complete,final,,"avsbp=(ex39+ex95)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,harmonized,LDLCMES_146,,,LifeCycle_CDM,outcome,ldlcmes_151,complete,final,,ldlcmes_151=0;,
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_146,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_147,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_148,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_149,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_150,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_151,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_152,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_152,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_153,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_154,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,harmonized,LDLCMES_146,,,LifeCycle_CDM,outcome,ldlcmes_152,complete,final,,ldlcmes_152=0;,
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_155,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_156,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_157,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX40,EX96",,,LifeCycle_CDM,outcome,dbpav_158,complete,final,,"avdbp=(ex40+ex96)/2;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_146,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_153,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_147,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_148,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_149,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_150,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,harmonized,LDLCMES_146,,,LifeCycle_CDM,outcome,ldlcmes_153,complete,final,,ldlcmes_153=0;,
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_151,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_152,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_153,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_154,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_155,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_156,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_157,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,bpage_158,complete,final,,"bpage=age_exam_jour;

do i = 146 to 158 ; 
  if age_exam_mois eq i then do; 
    if bpage ne . then do;
      sbp_[i]=sbp;dbp_[i]=dbp ;sbpav_[i]=avsbp;dbpav_[i]=avdbp ; bpage_[i]=age_exam_jour;end;
  end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_146,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,LDLCMES_146,,,LifeCycle_CDM,outcome,ldlcmes_154,complete,final,,ldlcmes_154=0;,
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_147,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_148,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_149,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_150,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
RMR,RMR,,,,OOM_CDM,SURVEY_ID,survey_meaning,complete,,‘death_registry’,,
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_154,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_155,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_156,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,ldlcage_151,complete,final,,ldlcage_151=age_exam_jour;,
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_157,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,"EX42,EX98",,,LifeCycle_CDM,outcome,pulse_158,complete,final,,"pulse= (ex42+ex98)/2;


do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_146,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_147,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_148,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_149,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
NFBC1966,core,,,,LifeCycle_CDM,core,outcome,partial,final,"Child live/dead born1) 1 alive 2) 1 stillbirth 3) 2 alive 4) 2 stillbirths 5) 1 alive, 1 stillbirth",Original codings were used,
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_150,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_151,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_152,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,LDLCMES_146,,,LifeCycle_CDM,outcome,ldlcmes_157,complete,final,,ldlcmes_157=0;,
PELAGIE,harmonized,LDLCMES_146,,,LifeCycle_CDM,outcome,ldlcmes_158,complete,final,,ldlcmes_158=0;,
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_153,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_154,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_155,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_156,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_157,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
NFBC1966,core,,,,LifeCycle_CDM,core,death_m,complete,final,Used as a indicator variable of mother's dead  (value 99999 means that child had died before mother),RECODE ika_pv_aiti_kuoli (99999=0) (SYSMIS=0) (0 thru 18715=1) INTO death_m. EXECUTE.,
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,pulseage_158,complete,final,,"pulseage=age_exam_jour;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_146,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_147,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_148,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,ldlcage_152,complete,final,,ldlcage_152=age_exam_jour;,
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,hdlcage_157,complete,final,,hdlcage_157=age_exam_jour;,
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_149,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_150,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_151,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_152,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_153,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_154,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_155,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_156,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,harmonized,PULSEMESSIT_0,,,LifeCycle_CDM,outcome,pulsemessit_157,complete,final,,"pulsemessit=1;

do i = 146 to 158 ; 
	 if age_exam_mois eq i then do; 
if pulse ne . then do;pulse_[i]=pulse;pulseage_[i]=age_exam_jour;pulsemessit_[i]=1;end;
	end;
end;",
PELAGIE,pelagie_exam12,AGE_EXAM_JOUR,,,LifeCycle_CDM,outcome,ldlcage_153,complete,final,,ldlcage_153=age_exam_jour;,
