id,pid,acronym,name,local name,keywords,website,lead organisation,additional organisations,description,contact email,type,type other,design,design description,design schematic,design schematic_filename,collection type,logo,logo_filename,number of participants,number of participants with samples,countries,regions,population age groups,inclusion criteria,other inclusion criteria,start year,end year,population disease,population oncology topology,population oncology morphology,prelinked,linkage possibility description,release type,release description,linkage options,data holder,data access conditions,data use conditions,data access conditions description,data access fee,design paper,publications,informed consent type,funding statement,acknowledgements,supplementary information
HYWEL DDA BIOBANK,21.12110/1.70A1-FACA-F5F2,,HYWEL DDA BIOBANK,,,,,,This is a University Health Board Biobank initially concentrating on lung and breast material but will expand to other specialities in the future..,PRIYA.SAI-GIRIDHAR@WALES.NHS.UK,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
SUN Study,21.12110/1.3132-F000-DFAE,,SUN Study,,,http://www.surreycancer.org.uk/biobanks-and-databases.htm,,,The SUN study is a Bio repository of 6 monthly sequential blood samples from 350 men with Prostate Cancer  - pre-treatment and through follow-up,a.michael@surrey.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
ORIGO Biobank,21.12110/1.4483-5074-E090,,ORIGO Biobank,,,,,,,p.devilee@lumc.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
CRB-CLB,21.12110/1.2132-8EAA-49D6,CRB-CLB,CRB institutionnel Centre Leon Berard,,,http://www.centreleonberard.fr/827-Les-plateformes-de-recherche-de-transfert.clb.aspx?language=fr-FR,,,"The identification of key events during tumor development has led to innovative therapeutic approaches targeting critical defective pathways (hence the notion of ""targeted therapy""). However, the exclusive targeting of mitogenic mechanisms has shown two crucial limitations: the emergence of chemo-resistance within target cells and evasion promoted by tumor heterogeneity. In this context, the researchers and clinicians involved in this project share the will to focus their studies on intrinsic and extrinsic determinants that allow pre-cancer and cancer cells to escape from onco-suppressive barriers (apoptosis, senescence, interactions with the immune system and the microenvironment), with the aim to develop innovative therapeutic approaches designed to specifically target cancerous cell survival processes. The foundations of this project can thus be found in the scientific links that have been forged over the past few years between the diverse INSERM and CNRS units present on the site (INSERM Unit 590, UMR CNRS 5238, UMR CNRS 5201, INSERM Unit 865, and INSERM Unit 871), in the framework of this restricted but promising aspect of cancer research. Hence, above and beyond cancer research that unifies the different groups, the members of these various laboratories have expressed the will to define and develop common priority research themes:-The study of mechanisms of tumoral escape. The aim of this research axis, within the framework of specific tumor types (breast cancers, intestinal tumors, pancreatic tumors, virally-induced hepatic tumors, sarcomas, neuroblastomas, hematological malignancies), is to identify the mechanisms that allow cancerous cells to evade the intrinsic safeguard responses of the cell. It comprises three sub-themes with numerous interrelations both in conceptual terms and in terms of applied research:osub-theme 1 is the characterization of mechanisms allowing cancers to avoid intrinsic onco suppressive processes (senescence and apoptosis);osub theme 2 is the analysis of mechanisms of avoiding immuno surveillance;osub-theme 3 is the pre-clinical evaluation that the re-engagement of these safeguard mechanisms can be promising therapeutic approaches. The long-term objective is to improve understanding of the involvement of these mechanisms in the processes of tumor progression, metastasis and chemo-resistance, so as to be able to propose innovative therapeutic approaches aimed at restoring these safety systems and identifying new diagnostic and predictive factors. -Analysis of the perversion of information flow by the carcinogenic process. In multi-cellular organisms, the continuous integration of signals from the microenvironment by normal cells requires the onset of specific genetic programs which express information stored in the hereditary material and, through transcription and translation, transfer this information to the effector molecules. At each step, major and multiple differences between normal and cancer cells are evidenced. The objective of this research theme is the identification of those differences that may be instrumental in determining the phenotypic divergence between normal and malignant states. These programs are recognized as being innovative and involving collaboration between groups. As such they form part of the priority research approaches cancer cluster CLARA (Canceropole Lyon-Rhone-Alpes-Auvergne). The approach ""Tumoral Escape"" forms the core of the research program of the Fondation de Cooperation Scientifique ""Synergie Lyon Cancer"" (Scientific Cooperation Foundation ""Lyon Cancer Synergy"") created in 2007 following the nationwide call for proposals from the Ministry of Research and Higher Education, in order to create the Reseau Thematique de Recherche et de Soins (RTRS) (Thematic Network Research and Care). Furthermore, the work on the role of immunosurveillance as well as the analysis of virally induced cancers are developed within the framework of the scientific priorities of the Fondation ""Innovations en Infectiologie"" (FINOVI) and the Lyon Biopole, thereby creating close links between research themes of the sites of Lyon-Est and Lyon Sud-Gerland.",severine.tabone-eglinger@lyon.unicancer.fr,Biobank,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,
NHS Grampian Biorepository,21.12110/1.EB39-8B89-BA7D,,NHS Grampian Biorepository,,,,,,"The Grampian Biorepository was developed to provide core facilities that could undertake research based around the collection, storage, analysis and distribution of human biological samples collected within NHS Grampian.   The biorepository supports a range of tissue based projects.   The main areas of research activity are translational research programs in colorectal cancer, lung cancer.  In addition we have the following collections: orthopaedic tissues and liver samples, We have access to the Pathology Department archive consisting of patient identifiable paper documents, tissue blocks and glass slides containing in excess 1 million patient samples.",grampian.biorepository@nhs.net,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
UK ME/CFS Biobank,21.12110/1.5C88-E0F3-5FE8,,UK ME/CFS Biobank,,,http://cureme.lshtm.ac.uk/,,,"Participants:    Over 650 participants are included in the study, including ME/CFS participants diagnosed by a physician and compliant with CDC ’94 (Fukuda) and Canadian Consensus Criteria (CCC), with  case definition compliance available for four other commonly-used criteria. Healthy and MS matched controls are also available.    • Mild and Moderate ME/CFS  • Severe (Home-Bound) ME/CFS  • Multiple Sclerosis  • Healthy Controls    Samples Available:    Over 32,000 aliquots available.  • Whole Blood  • Serum  • Plasma  • RBCs  • PBMCs (Sodium Heparin and K2 EDTA)  • Blood for RNA Extraction (PaxGENE)    Associated Data Available:    • Baseline Standard Laboratory Tests to exclude comorbidity causes of fatigue  • In-person clinical assessment data   • Detailed Symptoms Assessments  • Demographic information  • Standardised instruments of Fatigue Severity and Functional Impairment",mecfsbiobank@lshtm.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Ethical Tissue - University of Bradford,21.12110/1.6824-3D27-4C14,,Ethical Tissue - University of Bradford,,,http://www.brad.ac.uk/business/ethical-tissue,,,"Ethical Tissue is a research tissue bank, licensed by the Human Tissue Authority (HTA); to collect, store and supply a wide range of human tissue, cells and fluids to biomedical research groups in academia and industry.  Also includes tissue donated after death.",enquiries@ethicaltissue.org,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Cam-UroOnc Biorepository,21.12110/1.4A96-5D59-8FC2,,Cam-UroOnc Biorepository,,,http://www.cambridgecancercentre.org.uk/research/programmes/urological-malignancies,,,"The primary role of the CamUro-Onc is to consent, collect, log and store frozen tumour/normal tissues, blood and urine for use in approved research projects. The bank has been in operation since 2003 and now has an extensive collection of biosamples from urological diseases.    Type of samples collected;  - Fresh frozen and paraffin wax embedded tumour/normal tissue (where possible) from kidney, bladder and prostate.  - Matching blood and urine samples.  - Blood and urine samples collected as part of several research projects.  These samples have been collected as part of various ethically approved research studies.    The CamUro-Oncology Biobank is part of the Cambridge site of the ProMPT NCRI Prostate Cancer Collaborative. ProMPT provides infrastructure to take forward translational research in prostate cancer including the establishment of biorepositories and tissue collections together with epidemiological and clinical information.   DIAMOND Study-(Discovery and Analysis of novel biomarkers in Urological diseases)- Collection of initial and sequential samples from subjects with benign and cancerous urological diseases.",anne.george@addenbrookes.nhs.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Human Developmental Biology Resource (HDBR),21.12110/1.6204-DE0D-4B67,,Human Developmental Biology Resource (HDBR),,,http://www.hdbr.org/,,,"The Human Developmental Biology Resource (HDBR) is an ongoing collection of human embryonic and fetal material ranging from 3 to 20 weeks of development. Material is available to researchers internationally following registration with the tissue bank.  Jointly funded by the MRC and Wellcome Trust, the biobank has been operating since 1999 and is based at two centres: Institute of Genetic Medicine – Newcastle University and the Institute of Child Health – University College London.    Tissues can be dissected to meet specific research needs and samples supplied fixed or frozen for histology or nucleic acid extraction, or the tissue can be collected into culture media to be used to establish cell lines. Material pre-sectioned to microscope slides is available for immunohistochemistry (IHC) or tissue in situ hybridisation studies (TISH) and stage, tissue specific RNA/DNA/cDNA can be requested.    Our In House Gene Expression Service will perform IHC or TISH experiments on behalf of registered users and provide them with high quality annotated images of results ready for publication.",hdbr@ncl.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
BioDock,21.12110/1.C3B2-DF53-4E33,,BioDock,,,http://www.bio-dock.com/,,,"Proud to be an industry leader in cryogenic storage. Our state-of-the-art facilities are based in the UK and Switzerland. Storing over 500,000 samples from over 70 different countries",info@bio-dock.com,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
BOSOM Biobank,21.12110/1.1A0F-E44C-9D0A,,BOSOM Biobank,,,,,,,mk.schmidt@nki.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Tissue Access for Patient Benefit (TAPb),21.12110/1.6CF9-7520-4AA2,,Tissue Access for Patient Benefit (TAPb),,,https://www.ucl.ac.uk/tapb/,,,"We aim to facilitate the pathway for access, storage, use and transfer of human organs, cells and tissue between clinical centres within UCL Partners, academic groups in UCL, other universities, hospitals, medical researcher and biotechnology companies, to enhance the ability for researchers to access the materials they need. Alongside this, researcher will be able to exchange information and access guides on regulatory, ethics and practical issues concerning access, transfer and use of this type of material. These guides will be video and documents format, based on talks at organised events given by experts in the relevant fields.",a.gander@ucl.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
University of Southampton Faculty of Medicine Tissue Bank,21.12110/1.B361-0B19-D2FD,,University of Southampton Faculty of Medicine Tissue Bank,,,http://www.southampton.ac.uk/cruk/tcr/tissue.page,,,"The Tissue Bank is licensed by the Human Tissue Authority (HTA) to source, organise, collect, prepare, store and distribute a diverse collection of human tissues and biological products.    All tissue is collected with patient consent and distributed anonymously only to National Research Ethics Service (NRES) approved studies. This valuable resource is available  to aid the study of cancer biology and other associated research. The Tissue Bank allows for rapid access to a plethora of biological materials supported by an inventory management system. Tissues currently available include normal and malignant snap frozen tissue, FFPE blocks, fresh biopsy tissues, blood products and biological fluids. Collections are organized by Tissue Bank staff and include a wide variety of cancer classifications. The Tissue Bank currently holds over 100,000 vials.",kp1@soton.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
HPB Biobank,21.12110/1.5755-5BE2-4297,,HPB Biobank,,,,,,Prospectively collected fresh tissues from surgery.  All patients fully consented.  Snap frozen paired cancers and normal tissues.  Stored in liquid nitrogen  HCC  Cholangiocarcinoma  Liver mets  Benign tumours  Gallbladder cancer  Pancreas and ampullary cancers  1010 samples currently in bank,b.davidson@ucl.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
MesobanK,21.12110/1.9059-C3E8-A748,,MesobanK,,,http://www.mesobank.com/,,,"A global solution to a global problem.    Mesobank is a Research Tissue Bank dedicated to the study of mesothelioma. We provide a comprehensive sample and data set from patients with mesothelioma and support biomedical research directly concerned with asbestos related disease undertaken within the UK, EEA, USA, Canada, Australia and New Zealand.",sallyanne.meakins@nhs.net,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
UK primary Sjogren's syndrome Registry,21.12110/1.5B28-9866-64C8,,UK primary Sjogren's syndrome Registry,,,http://www.sjogrensregistry.org/,,,"Peripheral blood samples (DNA, RNA, serum, PBMC) from patients with primary Sjogren's syndrome, with detailed contemporaneous clinical data at the time of sample collection.",Wan-Fai.Ng@ncl.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Bloodwise Childhood Leukaemia Cell Bank,21.12110/1.32B7-2FEE-33DD,,Bloodwise Childhood Leukaemia Cell Bank,,,http://www.cellbank.org.uk/,,,"The Bloodwise Childhood Leukaemia Cell Bank is a national collection of samples from children and young people with paediatric haematological malignancies. It is very well annotated with demographic, clinical and genetic features. This annotation enables identification and curation of very rare subgroups. There is a range of sample types including viable cells and DNA from bone marrow, plasma and CSF supporting many different types of project.     The Bank is open to international as well as UK-based researchers where at least one of the investigators is based at a UK university or NHS institution. Applications are reviewed rapidly by an independent review panel. Our team can give help and advice at all stages of the application from initial enquiry to dispatch of samples.     The Bank also holds a collection of HLA typed cord blood which are subject to the same review process.",enquiries@cellbank.org.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
CMFT Biobank,21.12110/1.4EF8-FFD7-F087,,CMFT Biobank,,,https://research.cmft.nhs.uk/facilities-services/biobank-and-pathology/biobank,,,"Our biobank is a resource for health research available to all bona-fide researchers via our application process.  We hold a large collection of human biological samples with associated clinical information.    All human biological samples collected by The Biobank have full ethical approval, and is handled within the conditions of the ethical approval gained, in accordance with the requirements of the Human Tissue Act 2004 and under the governance of the Human Tissue Authority (HTA) Licence (#12552).    The Biobank has been ethically approved as a research tissue bank by the NRES Committee North West – Haydock (Ref: 14/NW/1260). The Biobank is authorised to ethically approve biomedical research projects that fall within this governance structure. Researchers receiving samples from The Biobank are not required to have individual project based ethical approval from NRES.      Tissue types    Uterus (tumour, associated normal, control normal, benign conditions)  Ovary (tumour, associated normal, control normal, benign conditions)  Colon, ileum (tumour, associated normal, control normal, crohn’s disease, ulcerative colitis)  Kidney (tumour, associated normal, control normal)  Liver (tumour, associated normal, control normal)  Prostate (tumour, associated normal)  Thyroid, parathyroid (tumour, associated normal, benign conditions)  Head & neck (tumour, associated normal, control normal)      Sample types    Fresh tissue in perfusion solution (medium of choice available 1hr post-surgical removal)  Frozen tissue  FFPE (formalin fixed paraffin embedded) tissue blocks  Frozen or FFPE tissue sections mounted on glass slides  Blood or tissue-derived DNA, RNA and protein  Case-matched serum and plasma",jay.brown@cmft.nhs.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Occupational asthma Biobank,21.12110/1.DF60-4130-4FD8,,Occupational asthma Biobank,,,,,,,d.heederik@uu.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
NHS Greater Glasgow & Clyde Bio-Repository,21.12110/1.14FB-F257-513E,,NHS Greater Glasgow & Clyde Bio-Repository,,,http://www.nhsresearchscotland.org.uk/about/infrastructur,,,The NHS Greater Glasgow & Clyde Bio-repository is part of NHS Scotland NHS Research Scotland Infrastructure. There is a network of Bio-repository across Scotland designed to encourage use of tissue in research and boost availability of tissue across Scotland.  Each Bio-repository node holds the responsibility for tissue governance for local and partner Health Boards with a main focus on facilitating access to surplus diagnostic and surgical tissue for use in research.,clare.orange@ggc.scot.nhs.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
The Christie NHS Foundation Trust,21.12110/1.D15F-2779-C736,,The Christie NHS Foundation Trust,,,http://www.mcrc.manchester.ac.uk/Our-Research/Biobank,,,Facilitating high quality cancer research by bringing a flexible and committed approach to ethical sample and data collection,sharzad.moghadam@christie.nhs.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
QUOD - Quality in Organ Donation,21.12110/1.9488-AC50-3473,,QUOD - Quality in Organ Donation,,,http://www.quod.org.uk/,,,"Organ donation and transplant saves thousands of lives a year and could be considered one of the greatest successes in modern medicine. However, over the past decade, there has been an ever increasing need for organs throughout the UK, far surpassing the supply. This is a pattern that is predicted to worsen over the next 10 years.    As many as one in three patients on the transplant waiting list will die or become too unwell to receive a transplant as a result of this disparity.     To address this problem, the transplant community have been turning to organs previously considered to be unsuitable for transplantation, including organs from extended criteria donors and non-heart beating donors. In order to do this, QUOD aims to facilitate research by collecting blood, urine and tissue samples of appropriately consented / authorised organ donors. Through this, it may be possible to determine pathways of injury and repair in organs and identify biomarkers which can be used to better predict the outcomes of transplantation.    QUOD is a nationwide programme encompassing all retrieval zones in the UK. These regions include:     •Birmingham / Cardiff  •Cambridge  •Edinburgh  •London Kings  •Manchester / Leeds  •Newcastle  •Oxford / Royal Free    The QUOD team has a wide range of personnel, including specialist nurses, transplant surgeons, academics, management teams and a variety of healthcare professionals.     The samples collected throughout the QUOD programme are available for research purposes. Samples will be available to research projects based on scientific merit. More information about the access policy can be found on the website.",contact@quod.org.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Arden Tissue Bank,21.12110/1.9373-0EFF-0B05,,Arden Tissue Bank,,,http://www.uhcw.nhs.uk/research/facilities/arden-tissue-bank,,,"Arden Tissue Bank operates under a Human Tissue Authority post mortem licence within a district general hospital. The biobank has generic , ethical approval and is able to collect tissues prospectively across a wide range of tissue types.  In addition the biobank has access to the full pathological archive across three hospital sites. The cellular pathology archive alone totals almost 2 million blocks, with full patient data available for the last 10 years.",sean.james@uhcw.nhs.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
National Diet and Nutrition Survey (NDNS),21.12110/1.2AA8-ED34-1BF4,,National Diet and Nutrition Survey (NDNS),,,http://www.mrc-ewl.cam.ac.uk/research/ndns-bioresource/,,,"A National cross sectional population based survey.  Additional data available including 4 day food diary, BP, biochemical analytes",Ndns.Bioresource@phe.gov.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
TwinsUK,21.12110/1.87B8-2011-86F9,,TwinsUK,,,http://www.twinsuk.ac.uk/,,,"The TwinsUK cohort, set up in 1992, is a major volunteer-based genomic epidemiology resource with longitudinal deep genomic and phenomic data from over 14,500 adult twins (18+) who are highly engaged and recallable. It is one of the most deeply characterised adult twin cohort in the world, providing a rich platform for scientists to research health and ageing longitudinally. More than 800 data access collaborations and 150,000 samples have been shared with external researchers, resulting in ~600 publications since 2012.  There are over 500,000 biological samples stored and data collected on twins with repeat measures at multiple timepoints.",victoria.vazquez@kcl.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
MINDACT Biobank,21.12110/1.6C66-9543-5AF4,,MINDACT Biobank,,,,,,,l.vt.veer@nki.nl,Biobank,,,,,,,,,,,Netherlands (the),,,,,,,,,,,,,,,,,,,,,,,,,
Epilepsy Society Brain and Tissue Bank,21.12110/1.4109-D420-C9AD,,Epilepsy Society Brain and Tissue Bank,,,http://www.ucl.ac.uk/ion/departments/epilepsy/themes/brainbank,,,"The Epilepsy Society Brain and Tissue Bank is a recently established tissue bank at the Institute of Neurology, which has ethical approval and is supported by the Epilepsy Society. It is located within UCL Institute of Neurology in the Department of Neuropathology and is governed by a committee including members of the Department of Clinical and Experimental Epilepsy, the Epilepsy Society as well as SUDEP Action.  The collection comprises consented tissue samples from patients who have undergone epilepsy surgery, mainly at the National Hospital for Neurology and Neurosurgery. In addition the tissue bank archives whole brain samples from patients with epilepsy and particularly epilepsy-related deaths, such as sudden and unexpected death in epilepsy (SUDEP).  We have a donor registry for people who have epilepsy, seizures or who are healthy, without seizures, who wish to donate brain tissue following death.",epilepsybrainbank@ucl.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
UCL / UCLH Biobank for Studying Health and Disease,21.12110/1.F0AC-7DC2-2E81,,UCL / UCLH Biobank for Studying Health and Disease,,,http://www.ucl.ac.uk/human-tissue/hta-biobanks/UCL-Cancer-Institute,,,"The Biobank stores normal and pathological specimens, surplus to diagnostic requirements, from relevant tissues and bodily fluids. Stored tissues include; snap-frozen or cryopreserved tissue, formalin-fixed tissue, paraffin-embedded tissues, and slides prepared for histological examination. Tissues include resection specimens obtained surgically or by needle core biopsy. Bodily fluids include; whole blood, serum, plasma, urine, cerebrospinal fluid, milk, saliva and buccal smears and cytological specimens such as sputum and cervical smears. Fine needle aspirates obtained from tissues and bodily cavities (eg. pleura and peritoneum) are also collected. Where appropriate the Biobank also stores separated cells, protein, DNA and RNA isolated from collected tissues and bodily fluids described above. Some of the tissue and aspirated samples are stored as part of the diagnostic archive.",ci.bbfhad-admin@ucl.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
QTL Programme at MRC HGU,21.12110/1.359B-4E75-0081,,QTL Programme at MRC HGU,,,https://www.ed.ac.uk/mrc-human-genetics-unit/research/qtl-group,,,"The QTL (Quantitative Trait Locus) programme is based at the MRC Human Genetics Unit in the University of Edinburgh. The research programme uses the unique population structures in our Scottish and Croatian cohorts to deliver biological understanding of the causes of variation in complex traits. Together, the ORCADES and VIKING biobanks contain 4,000 samples from volunteers with ancestry from the Northern Isles of Scotland, www.ed.ac.uk/viking. Collectively, the CROATIA cohorts contain 6,000 participants. All of these biobanks were constructed from people with high kinship and extensive pedigree structures. They were collected together with detailed phenotype data, some of which is longitudinal. Plasma, serum, urine and DNA samples, as well as detailed genomic, proteomic and metabolomics data can be made available for collaborative research.",accessQTL@ed.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
NIHR BioResource,21.12110/1.826D-2B5E-3D7F,,NIHR BioResource,,,https://bioresource.nihr.ac.uk/,,,"Panel of over 100,000 highly characterised healthy volunteers and patients with common and rare diseases, who are willing to be approached to participate in research studies investigating the links between genes, the environment, health and disease.     Volunteers who join the NIHR BioResource donate their DNA via a blood or saliva sample which is used together with other information (e.g. gender, ethnicity, health records), to match them to specific research studies. Genotyping information via high density array is available for over half of the BioResource panel. Volunteers are free to choose which studies they would like to take part in, allowing the BioResource to provide researchers with groups of participants, tailor-made to the research study.    Volunteers can currently be recruited from the thirteen existing BioResource centres located in Birmingham, Cambridge, Exeter, Leicester, London (at Barts Health, King’s College London Guys and St Thomas’, King’s College London South London and Maudsley, Moorfields and University College London), Leeds, Manchester, Newcastle and Southampton.     Patient cohorts and research studies: The NIHR BioResource supports studies led by Academics, Clinicians and Industry partners including, but not exclusively, in the fields of autoimmune diseases, inflammatory bowel disease, cancer and cardiovascular diseases.  As well as healthy volunteers, the NIHR BioResource has enrolled over 10,000 patients with Rare Diseases, and has cohorts of patients with cardiovascular diseases, mental health conditions, and Inflammatory Bowel Disease (the aim is to recruit 25,000 IBD patients). New patient cohorts are continuously being added.     Industry partners may encounter a cost to access BioResource volunteers. A detailed cost for Industry-led studies through commercial agreements can be found at: https://bioresource.nihr.ac.uk/industry/industry-home/",nbr@bioresource.nihr.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
MDSBio,21.12110/1.9A81-26F9-76B8,,MDSBio,,,http://oxfordbioresource.org/content/bioresources/bone-marrow-characterisation?wb48617274=A8D6E345,,,"Molecular and functional characterisation of bone marrow function in normal subjects, myelodysplastic syndromes (MDS), acute myeloid leukaemia (AML) and secondary disorders of haematopoiesis",mds@imm.ox.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
TOPARP: Ph. II Trial of Olaparib in Patients with advanced CRPC,21.12110/1.E763-AE28-05AD,,TOPARP: Ph. II Trial of Olaparib in Patients with advanced CRPC,,,http://www.icr.ac.uk/our-research/our-research-centres/clinical-trials-and-statistics-unit,,,"TOPARP is an open-label, single arm, two part adaptive design phase II trial of olaparib in mCRPC.  Patients will receive single agent olaparib at a dose of 400 mg twice daily, continuously on a 28-day cycle, until objective disease progression or unacceptable toxicity or patient withdrawal for whatever reason.",toparp-icrctsu@icr.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
Human Biomaterials Resource Centre,21.12110/1.F962-EF33-A556,,Human Biomaterials Resource Centre,,,http://www.birmingham.ac.uk/facilities/hbrc/index.aspx,,,"The HBRC is an HTA-licensed biorepository dedicated to the collection of appropriately consented high quality human biomaterials, their processing, storage and distribution to biomedical researchers. The HBRC resides within the purpose-built Advanced Therapies Facility (ATF) within the College of Medical and Dental Sciences (CMDS) at the University of Birmingham (UoB). The ATF also houses both cell and gene therapy manufacturing units.  Samples are collected, processed and stored (or released) from patients in a variety of disease settings in response to local demand and research strategies in order to facilitate existing research and enable future research areas to be developed. Samples may comprise adult or paediatric tissue which is waste, or surplus to diagnosis taken at the time of surgery or treatment, additional samples taken specifically for research purposes, material taken from patients enrolled in clinical trials, and control material. The HBRC works with local researchers and carries out bespoke tissue collections. All samples can be annotated with the appropriate clinical data which makes them scientifically useful.   Although the HBRC is primarily a resource for local researchers within CMDS and local NHS Trusts, applications from other UK research groups and the commercial sector are also considered. The policy and procedures associated with the review of these applications, and the subsequent release of samples and associated data, are the same for both internal and external applicants. All samples and associated data are released for research in a fully anonymised form, and a Tissue Transfer Agreement ensures that they will only be used for the purposes approved at release and will not be transferred without written permission. In order to enhance the value of the HBRC collection, every attempt is made to secure the return of useful research data following the completion of research studies.",hbrc-tissuebank@contacts.bham.ac.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
interNational Anaplastic Thyroid Cancer Tissue Bank (iNATT),21.12110/1.5175-3724-758B,,interNational Anaplastic Thyroid Cancer Tissue Bank (iNATT),,,http://www.inatt.org/,,,"The primary objective is to establish an international anaplastic thyroid cancer tissue collection to facilitate research. Patients have the option to donate blood samples and clinical data.     Research proposals will be accepted from academic and industry research parties from the UK and internationally. All research proposals will be submitted to the multidisciplinary iNATT Steering Committee for assessment.   As the volume of tissue collected per patient is expected to be of small volume, by virtue of the specimen comprising core biopsy or fine needle aspirate material, research proposals will be prioritised according to the potential clinical benefits. Research proposals will require ethical approval and the relevant research and development permissions prior to commencement.    ClinicalTrials.gov Identifier: NCT01774279",laura.moss@wales.nhs.uk,Biobank,,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland (the),,,,,,,,,,,,,,,,,,,,,,,,,
